Date,Dies,Disease
24.05.20,54706.0,910793.0
24.05.21,336716.5,18451383.0
24.06.20,66680.0,1286697.0
24.06.21,344896.5,18713230.5
24.07.20,77601.0,2152668.0
24.07.21,349217.5,19150721.5
24.08.20,92808.5,2992072.0
24.08.21,359935.5,21059828.0
24.09.20,105590.5,3637634.5
24.09.21,388920.5,23546424.5
24.10.20,117128.0,4503906.0
24.10.21,414859.5,24991732.5
24.11.20,137357.5,6797597.0
24.11.21,436529.5,26807976.5
24.12.20,180541.5,10192675.5
24.12.21,462593.0,29530276.0
25.01.21,238948.5,13789554.5
25.01.22,494439.0,40653027.5
25.02.20,0.0,16.0
25.02.21,287912.0,15481935.5
25.02.22,533641.0,46643487.5
25.03.20,757.5,50197.5
25.03.21,309240.0,16446194.5
25.03.22,552487.0,49915844.5
25.04.20,30972.5,548604.0
25.04.21,324781.5,17736377.0
25.04.22,563083.0,52696602.5
25.05.20,55009.5,920484.5
25.05.21,337056.0,18464634.5
25.06.20,66960.5,1306661.0
25.06.21,345188.5,18725919.0
25.07.20,78089.0,2185159.0
25.07.21,349268.5,19165401.0
25.08.20,93424.0,3014048.0
25.08.21,360725.0,21155093.5
25.09.20,106052.5,3662279.5
25.09.21,389370.0,23580278.5
25.10.20,117365.0,4539981.5
25.10.21,415605.0,25051299.0
25.11.20,138680.5,6897020.5
25.11.21,436940.5,26865616.5
25.12.20,181502.5,10269028.0
25.12.21,462786.0,29584707.5
26.01.21,241385.5,13868265.5
26.01.22,496437.5,41047029.0
26.02.20,0.0,18.5
26.02.21,289178.5,15524643.5
26.02.22,534132.5,46755110.0
26.03.20,990.5,61585.0
26.03.21,309908.0,16495167.0
26.03.22,552698.0,50046564.5
26.04.20,31745.0,562458.0
26.04.21,325048.0,17763473.5
26.04.22,563248.5,52719269.5
26.05.20,55360.0,930063.5
26.05.21,337687.0,18478245.0
26.06.20,67284.0,1331422.5
26.06.21,345299.5,18730900.0
26.07.20,78356.0,2213231.5
26.07.21,349399.0,19205567.0
26.08.20,94004.0,3035873.5
26.08.21,361834.0,21253293.5
26.09.20,106443.0,3685307.0
26.09.21,389668.0,23611323.0
26.10.20,117634.0,4576606.0
26.10.21,416458.0,25089862.5
26.11.20,139576.5,6966779.5
26.11.21,437305.0,26930534.0
26.12.20,182576.5,10384974.5
26.12.21,463004.5,29678944.0
27.01.21,243932.5,13952592.5
27.01.22,497821.0,41401730.0
27.02.20,0.0,21.5
27.02.21,290116.5,15565167.5
27.02.22,534271.5,46818177.0
27.03.20,1279.0,73770.5
27.03.21,310389.5,16537430.5
27.03.22,552750.5,50108057.0
27.04.20,32540.0,575291.5
27.04.21,325557.5,17795103.5
27.04.22,563943.0,52899474.0
27.05.20,56122.5,939626.0
27.05.21,338499.5,18494823.0
27.06.20,67535.0,1352143.0
27.06.21,345341.5,18733480.0
27.07.20,78906.0,2243263.5
27.07.21,349640.0,19238836.5
27.08.20,94556.0,3061886.0
27.08.21,362707.5,21378648.0
27.09.20,106596.5,3702901.5
27.09.21,390805.5,23690801.0
27.10.20,118158.5,4620922.5
27.10.21,417542.5,25152748.0
27.11.20,140561.5,7085501.0
27.11.21,437612.5,26977365.5
27.12.20,183470.0,10459830.0
27.12.21,463935.5,29936171.5
28.01.21,246316.5,14044751.5
28.01.22,499955.0,41803820.5
28.02.20,0.0,35.0
28.02.21,290737.0,15594993.0
28.02.22,535359.5,46898813.0
28.03.20,1671.5,87999.5
28.03.21,310655.0,16569178.5
28.03.22,553290.0,50161263.5
28.04.20,33742.0,588150.0
28.04.21,326214.0,17833812.5
